label_rank_qid,label_rank_name,label_qid,label_name,assigned_node_count,assigned_leaf_node_count,strict_descendant_count,leaf_descendant_count,is_leaf_label
Q2889003,infraorder,Q944397,Tyrannides,1,1,1,1,0
Q2889003,infraorder,Q11302251,Menurida,0,0,0,0,1
Q2889003,infraorder,Q20817930,Picides,0,0,0,0,1
Q2889003,infraorder,Q20817955,Ramphastides,0,0,0,0,1
Q2889003,infraorder,Q21213777,Acanthisittides,0,0,0,0,1
Q6311258,parvorder,Q764420,Passerida,7239,5899,7239,5899,0
Q6311258,parvorder,Q12060072,Tyrannida,2174,1701,2174,1701,0
Q6311258,parvorder,Q869223,Corvida,1073,893,1073,893,0
Q6311258,parvorder,Q11294699,Furnariida,2,2,2,2,0
Q6311258,parvorder,Q21224579,Thamnophilida,0,0,0,0,1
Q2136103,superfamily,Q749521,Passeroidea,2663,2160,2663,2160,0
Q2136103,superfamily,Q1179990,Muscicapoidea,2537,2087,2537,2087,0
Q2136103,superfamily,Q2862448,Sylvioidea,1889,1536,1889,1536,0
Q2136103,superfamily,Q13624220,True parrots,1432,1125,1432,1125,0
Q2136103,superfamily,Q15998878,Corvoidea,1070,891,1070,891,0
Q2136103,superfamily,Q288617,Meliphagoidea,785,606,785,606,0
Q2136103,superfamily,Q16124376,Anatoidea,708,527,708,527,0
Q2136103,superfamily,Q2472000,Certhioidea,82,69,82,69,0
Q2136103,superfamily,Q51836655,Melanocharitoidea,54,38,54,38,0
Q2136103,superfamily,Q14854111,Phorusrhacoidea,46,27,46,27,0
Q2136103,superfamily,Q18579837,Strigopoidea,22,14,22,14,0
Q2136103,superfamily,Q21029592,Tyrannoidea,4,3,4,3,0
Q2136103,superfamily,Q16915115,Haematopoidea,3,1,3,1,0
Q2136103,superfamily,Q21226299,Eurylaimoidea,3,1,3,1,0
Q2136103,superfamily,Q28923243,Ralloidea,2,1,2,1,0
Q2136103,superfamily,Q33189267,Chionoidea,2,1,2,1,0
Q2136103,superfamily,Q12214438,Charadrioidea,1,1,1,1,0
Q2136103,superfamily,Q19896719,Dendrocygnoidea,1,1,1,1,0
Q2136103,superfamily,Q33189613,Motmotoidea,1,1,1,1,0
Q2136103,superfamily,Q47544238,Ceryloidea,1,1,1,1,0
Q2136103,superfamily,Q47545795,Dacelonoidea,1,1,1,1,0
Q2136103,superfamily,Q47624420,Podicipitoidea,1,1,1,1,0
Q2136103,superfamily,Q47642612,Sittoidea,1,1,1,1,0
Q2136103,superfamily,Q105617078,Emberizoidea,0,0,0,0,1
Q2136103,superfamily,Q11227033,Bombycilloidea,0,0,0,0,1
Q2136103,superfamily,Q12049133,Reguloidea,0,0,0,0,1
Q2136103,superfamily,Q12232394,Cracoidea,0,0,0,0,1
Q2136103,superfamily,Q14005928,Coracioidea,0,0,0,0,1
Q2136103,superfamily,Q14852428,Laroidea,0,0,0,0,1
Q2136103,superfamily,Q15142262,Furnarioidea,0,0,0,0,1
Q2136103,superfamily,Q15232011,Gruoidea,0,0,0,0,1
Q2136103,superfamily,Q15632729,Momotoidea,0,0,0,0,1
Q2136103,superfamily,Q15714177,Paroidea,0,0,0,0,1
Q2136103,superfamily,Q15918502,Callaeoidea,0,0,0,0,1
Q2136103,superfamily,Q16590101,Picathartoidea,0,0,0,0,1
Q2136103,superfamily,Q16985089,Malaconotoidea,0,0,0,0,1
Q2136103,superfamily,Q19019106,Ramphastoidea,0,0,0,0,1
Q2136103,superfamily,Q19969066,Accipitroidea,0,0,0,0,1
Q2136103,superfamily,Q19969103,Aegithaloidea,0,0,0,0,1
Q2136103,superfamily,Q19969145,Alaudoidea,0,0,0,0,1
Q2136103,superfamily,Q19969151,Alcedinoidea,0,0,0,0,1
Q2136103,superfamily,Q19969158,Alcoidea,0,0,0,0,1
Q2136103,superfamily,Q20417864,Megapodioidea,0,0,0,0,1
Q2136103,superfamily,Q20665493,Formicarioidea,0,0,0,0,1
Q2136103,superfamily,Q21226621,Menuroidea,0,0,0,0,1
Q2136103,superfamily,Q21227674,Cacatuoidea,0,0,0,0,1
Q2136103,superfamily,Q21227929,Formicaroidea,0,0,0,0,1
Q2136103,superfamily,Q22111917,Pittoidea,0,0,0,0,1
Q2136103,superfamily,Q22933805,Phasianoidea,0,0,0,0,1
Q2136103,superfamily,Q33188858,Cathartoidea,0,0,0,0,1
Q2136103,superfamily,Q33189605,Anseranatoidea,0,0,0,0,1
Q2136103,superfamily,Q33189680,Psophioidea,0,0,0,0,1
Q2136103,superfamily,Q33189738,Meleagridoidea,0,0,0,0,1
Q2136103,superfamily,Q47543487,Apodoidea,0,0,0,0,1
Q2136103,superfamily,Q47543517,Ardeoidea,0,0,0,0,1
Q2136103,superfamily,Q47543726,Burhinoidea,0,0,0,0,1
Q2136103,superfamily,Q47543863,Caprimulgoidea,0,0,0,0,1
Q2136103,superfamily,Q47544253,Ciconioidea,0,0,0,0,1
Q2136103,superfamily,Q47544267,Cincloidea,0,0,0,0,1
Q2136103,superfamily,Q47544305,Cisticoloidea,0,0,0,0,1
Q2136103,superfamily,Q47544743,Coccyzoidea,0,0,0,0,1
Q2136103,superfamily,Q47544762,Columboidea,0,0,0,0,1
Q2136103,superfamily,Q47544842,Cuculoidea,0,0,0,0,1
Q2136103,superfamily,Q47545807,Diomedeoidea,0,0,0,0,1
Q2136103,superfamily,Q47546529,Falconoidea,0,0,0,0,1
Q2136103,superfamily,Q47546537,Fregatoidea,0,0,0,0,1
Q2136103,superfamily,Q47546545,Fringilloidea,0,0,0,0,1
Q2136103,superfamily,Q47546549,Gavioidea,0,0,0,0,1
Q2136103,superfamily,Q47546660,Glareoloidea,0,0,0,0,1
Q2136103,superfamily,Q47546793,Haematopodoidea,0,0,0,0,1
Q2136103,superfamily,Q47546803,Hirundinoidea,0,0,0,0,1
